as_of_date,signal_date,stock_id,stock_name,research_score,daily_rank,consecutive_recommendation_count,buy_date,buy_open,target_close_plus3,risk_low_minus3,observed_trading_days,days_remaining,latest_close_return,max_close_return_so_far,max_close_return_date,min_low_return_so_far,hit_plus3_close_date,hit_minus3_low_date,tracking_status
2026-07-03,2026-06-18,3481,群創,1.968310,1,9,2026-06-22,69.400000,71.482000,67.318000,10,0,-0.048991,0.021614,2026-06-25,-0.085014,,2026-06-22,failure
2026-07-03,2026-06-18,2409,友達,1.866578,2,11,2026-06-22,29.450000,30.333500,28.566500,10,0,0.018676,0.110357,2026-06-30,-0.062818,2026-06-22,2026-06-24,success
2026-07-03,2026-06-18,2344,華邦電,1.821407,3,7,2026-06-22,229.500000,236.385000,222.615000,10,0,-0.196078,-0.032680,2026-06-22,-0.233115,,2026-06-22,failure
2026-07-03,2026-06-22,2610,華航,1.728443,4,10,2026-06-23,21.950000,22.608500,21.291500,9,1,0.027335,0.102506,2026-06-25,-0.009112,2026-06-24,,success
2026-07-03,2026-06-22,2313,華通,1.718430,5,1,2026-06-23,260.000000,267.800000,252.200000,9,1,-0.117308,-0.065385,2026-06-23,-0.176923,,2026-06-23,tracking
2026-07-03,2026-06-22,1303,南亞,1.711119,6,4,2026-06-23,157.000000,161.710000,152.290000,9,1,0.254777,0.254777,2026-07-02,-0.076433,2026-06-30,2026-06-24,success
2026-07-03,2026-06-25,2303,聯電,1.880525,3,3,2026-06-26,175.000000,180.250000,169.750000,6,4,-0.025714,-0.025714,2026-07-03,-0.097143,,2026-06-26,tracking
2026-07-03,2026-06-25,2618,長榮航,1.831454,4,5,2026-06-26,44.450000,45.783500,43.116500,6,4,-0.013498,0.010124,2026-06-30,-0.029246,,,tracking
2026-07-03,2026-06-25,2408,南亞科,1.667654,7,4,2026-06-26,480.000000,494.400000,465.600000,6,4,-0.146875,-0.056250,2026-06-29,-0.194792,,2026-06-26,tracking
2026-07-03,2026-06-26,5274,信驊,1.697717,8,6,2026-06-29,14765.000000,15207.950000,14322.050000,5,5,0.169319,0.202167,2026-07-02,0.000000,2026-06-29,,success
2026-07-03,2026-06-26,2353,宏碁,1.645002,9,1,2026-06-29,32.650000,33.629500,31.670500,5,5,0.007657,0.013783,2026-06-30,-0.030628,,2026-07-02,tracking
2026-07-03,2026-06-26,2327,國巨,1.644005,10,2,2026-06-29,985.000000,1014.550000,955.450000,5,5,0.060914,0.157360,2026-06-30,-0.006091,2026-06-29,,success
2026-07-03,2026-06-29,3443,創意,1.704570,5,1,2026-06-30,4555.000000,4691.650000,4418.350000,4,6,0.106476,0.170143,2026-07-02,-0.024149,2026-06-30,,success
2026-07-03,2026-06-29,2454,聯發科,1.698777,6,1,2026-06-30,4145.000000,4269.350000,4020.650000,4,6,0.012063,0.048251,2026-07-02,-0.020507,2026-07-01,,success
2026-07-03,2026-06-29,8042,金山電,1.671318,7,2,2026-06-30,176.000000,181.280000,170.720000,4,6,0.196023,0.196023,2026-07-03,0.000000,2026-06-30,,success
2026-07-03,2026-06-30,6515,穎崴,1.626068,7,2,2026-07-01,8345.000000,8595.350000,8094.650000,3,7,0.186339,0.186339,2026-07-03,-0.010186,2026-07-01,,success
2026-07-03,2026-06-30,2404,漢唐,1.608741,8,1,2026-07-01,1340.000000,1380.200000,1299.800000,3,7,0.007463,0.033582,2026-07-02,-0.041045,2026-07-02,2026-07-01,success
2026-07-03,2026-06-30,6669,緯穎,1.602600,9,1,2026-07-01,4740.000000,4882.200000,4597.800000,3,7,0.110759,0.110759,2026-07-03,-0.017932,2026-07-01,,success
