signal_date,stock_id,stock_name,original_rank,research_score,consecutive_recommendation_count,candidate_type,created_at,last_updated_at,as_of_date,buy_date,buy_open,target_close_plus3,risk_low_minus3,observed_trading_days,days_remaining,latest_close_return,max_close_return_so_far,max_close_return_date,min_low_return_so_far,hit_plus3_close_date,hit_minus3_low_date,tracking_status
2026-06-18,3008,大立光,6,1.885736,9,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-22,5275.000000,5433.250000,5116.750000,10,0,-0.198104,-0.017062,2026-06-22,-0.201896,,2026-06-23,failure
2026-06-18,2375,凱美,8,1.865740,2,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-22,224.500000,231.235000,217.765000,10,0,-0.037862,0.035635,2026-07-01,-0.162584,2026-07-01,2026-06-22,success
2026-06-18,6173,信昌電,10,1.858593,3,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-22,303.000000,312.090000,293.910000,10,0,0.156766,0.156766,2026-07-03,-0.118812,2026-07-01,2026-06-23,success
2026-06-22,5274,信驊,1,2.362154,11,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-23,19650.000000,20239.500000,19060.500000,10,0,-0.172010,-0.058270,2026-06-23,-0.248601,,2026-06-23,failure
2026-06-23,2327,國巨,4,1.866322,5,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-24,1005.000000,1035.150000,974.850000,9,1,0.000000,0.134328,2026-06-30,-0.025871,2026-06-24,,success
2026-06-24,6155,鈞寶,10,1.814974,1,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-25,89.200000,91.876000,86.524000,8,2,-0.072870,0.030269,2026-06-30,-0.082960,2026-06-30,2026-06-26,success
2026-06-25,2059,川湖,2,2.102008,8,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-26,7205.000000,7421.150000,6988.850000,7,3,0.080500,0.110340,2026-07-03,-0.043026,2026-07-01,2026-06-26,success
2026-06-25,2478,大毅,6,2.004361,3,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-26,240.000000,247.200000,232.800000,7,3,-0.104167,-0.008333,2026-07-03,-0.172917,,2026-06-26,tracking
2026-06-25,6223,旺矽,9,1.899566,8,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-26,6800.000000,7004.000000,6596.000000,7,3,0.008088,0.085294,2026-07-03,-0.125000,2026-07-02,2026-06-26,success
2026-06-26,6515,穎崴,4,1.988861,7,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-29,8190.000000,8435.700000,7944.300000,6,4,0.088523,0.208791,2026-07-03,-0.083639,2026-07-01,2026-06-29,success
2026-06-26,2383,台光電,5,1.981314,7,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-29,5255.000000,5412.650000,5097.350000,6,4,0.041865,0.156993,2026-07-03,0.000000,2026-06-29,,success
2026-06-26,2492,華新科,9,1.835361,1,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-29,534.000000,550.020000,517.980000,6,4,0.043071,0.129213,2026-07-01,-0.088015,2026-06-30,2026-06-29,success
2026-06-29,3443,創意,9,1.770438,6,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-06-30,4555.000000,4691.650000,4418.350000,5,5,0.010977,0.170143,2026-07-02,-0.024149,2026-06-30,,success
2026-06-30,2454,聯發科,7,1.702890,3,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-01,4315.000000,4444.450000,4185.550000,4,6,-0.044032,0.006952,2026-07-02,-0.047509,,2026-07-02,tracking
2026-06-30,1303,南亞,9,1.685946,2,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-01,177.500000,182.825000,172.175000,4,6,0.042254,0.109859,2026-07-02,-0.016901,2026-07-01,,success
2026-06-30,2379,瑞昱,10,1.681686,1,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-01,831.000000,855.930000,806.070000,4,6,-0.074609,-0.002407,2026-07-01,-0.074609,,2026-07-01,tracking
2026-07-01,7769,鴻勁,4,1.833471,3,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-02,6845.000000,7050.350000,6639.650000,3,7,-0.006574,0.027027,2026-07-02,-0.027027,,,tracking
2026-07-01,5328,華容,9,1.710735,4,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-02,81.000000,83.430000,78.570000,3,7,-0.004938,0.017284,2026-07-03,-0.018519,,,tracking
2026-07-02,3661,世芯-KY,10,1.659758,3,replay_seed,2026-07-06 10:02:11,2026-07-07 08:49:16,2026-07-06,2026-07-03,4880.000000,5026.400000,4733.600000,2,8,-0.136270,-0.047131,2026-07-03,-0.137295,,2026-07-03,tracking
2026-07-06,3008,大立光,8,1.749077,1,new_formal,2026-07-07 08:49:16,2026-07-07 08:49:16,2026-07-06,,,,,0,10,,,,,,,not_started
2026-07-06,3131,弘塑,9,1.748564,1,new_formal,2026-07-07 08:49:16,2026-07-07 08:49:16,2026-07-06,,,,,0,10,,,,,,,not_started
