stock_id,stock_name,event_type,event_subtype,event_title,source_name,source_url,announcement_datetime,event_effective_start_date,event_effective_end_date,signal_usable_date,known_before_signal_close,post_close_pre_next_open,raw_payload_hash
6173,信昌電,disposition,因連續3個營業日達本中心作業要點第四條第一項第一款,因連續3個營業日達本中心作業要點第四條第一項第一款,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-16 00:00:00,2026-06-17,2026-07-01,2026-06-16,true,false,sha256:77fbe8558aa7a0040f7fcca3996d89476ab8a1dccd21e11f6b8b0dc1df759906
6187,萬潤,disposition,最近10個營業日內有6個營業日,最近10個營業日內有6個營業日,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-16 00:00:00,2026-06-17,2026-07-01,2026-06-16,true,false,sha256:97c70b96ec0b20591e2f6b32a60aae054cff1eb9a9c96a72926c8409ea247d15
2383,台光電,disposition,最近十個營業日已有六次,最近十個營業日已有六次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-17 00:00:00,,,2026-06-17,true,false,sha256:40119d4ea407bf7c81abf8d1af9d7e2862e893360bb38fe45a3b23a63836a8c2
3026,禾伸堂,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-17 00:00:00,,,2026-06-17,true,false,sha256:7d4fdab077235250b3b8e1720a556630c958ad157f0f8fef5d74c4ba4f27fab1
4991,環宇-KY,disposition,連續5個營業日,連續5個營業日,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-17 00:00:00,2026-06-18,2026-07-02,2026-06-17,true,false,sha256:2ac193177ae53311288124c4269afe341c784dc62155daeb967a9bbeec0a1018
8027,鈦昇,disposition,最近10個營業日內有6個營業日,最近10個營業日內有6個營業日,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-17 00:00:00,2026-06-18,2026-07-02,2026-06-17,true,false,sha256:b863872dec234b17d392828485482a0c30f85592ca5ee4f394ca6fb317feb454
8042,金山電,disposition,因連續3個營業日達本中心作業要點第四條第一項第一款,因連續3個營業日達本中心作業要點第四條第一項第一款,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-17 00:00:00,2026-06-18,2026-07-02,2026-06-17,true,false,sha256:df91dda920273753aff8cbf683f28bc010b4e8bd9f61b8655b8d6bf5ca8797f3
2455,全新,disposition,連續五次,連續五次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-18 00:00:00,,,2026-06-18,true,false,sha256:2b71f26cb532bf89282bc863db150379cb1216cea60c984c7203edea6f15dc52
2478,大毅,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-18 00:00:00,,,2026-06-18,true,false,sha256:edc6c4cb76a2717d6f4d01e30b4a7031089a6f770461c7d040c51c95be9c3349
3163,波若威,disposition,最近10個營業日內有6個營業日,最近10個營業日內有6個營業日,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-18 00:00:00,2026-06-22,2026-07-03,2026-06-18,true,false,sha256:7fc84965c80d8817ca148e3156ae69441a5a925b7864ded449f6890718a51cd0
3532,台勝科,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-18 00:00:00,,,2026-06-18,true,false,sha256:ff2a504bae99bdc146aede31495d5e3a7f19c417a9c273d9b068df05fd9df746
6488,環球晶,disposition,因連續3個營業日達本中心作業要點第四條第一項第一款,因連續3個營業日達本中心作業要點第四條第一項第一款,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-18 00:00:00,2026-06-22,2026-07-03,2026-06-18,true,false,sha256:0a555f49df8b73a0cbab5f3efe67fe82b5aacd18f11d945ab820e79af0b7326a
3090,日電貿,disposition,連續三次及當日沖銷標準,連續三次及當日沖銷標準,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-22 00:00:00,,,2026-06-22,true,false,sha256:4c306cebd48553435dc83c3c14a0a33fcbc43df24bc35b0987dc96a77d57f009
1303,南亞,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-23 00:00:00,,,2026-06-23,true,false,sha256:189d4b76d7a1e23e9eef5f8b681bf58a41ce92f39fb0c1aa7d15793a6dea9647
2492,華新科,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-23 00:00:00,,,2026-06-23,true,false,sha256:0b3f56f73e38dcde94b91568cd893fd3c3d3bac299ad5acfe5e54482c7787c09
6415,矽力*-KY,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-23 00:00:00,,,2026-06-23,true,false,sha256:639220e314d8f7f5352a405c4c1c0d43f4b6f39da7a197286be9ea380fe20768
6903,巨漢,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-23 00:00:00,2026-06-23,,2026-06-23,true,false,sha256:5e502c891dabb79817bb4995b546c3e6f15db287a5f70fe8eaba0e18f6fc918c
8096,擎亞,disposition,最近10個營業日內有6個營業日,最近10個營業日內有6個營業日,TPEx disposition securities,https://www.tpex.org.tw/openapi/v1/tpex_disposal_information,2026-06-23 00:00:00,2026-06-24,2026-07-07,2026-06-23,true,false,sha256:ed09bf5f406a3b68e4d176be60da68b3330740c7bb634e41b890b165285fe866
8996,高力,disposition,連續三次,連續三次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-23 00:00:00,,,2026-06-23,true,false,sha256:54f9c6be726930744bc1a8211a5c38ed8ab29b6b04aba91dab3f5127b92bf441
3374,精材,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-24 00:00:00,2026-06-24,,2026-06-24,true,false,sha256:fa102174b74b0266e9ac86f4834303a97d024bf954514944f95437c09db569e7
3529,力旺,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-25 00:00:00,2026-06-25,,2026-06-25,true,false,sha256:8e0498eb73f350ad3fe223464ea6067d62f9e944435ca4458430b07e84c88503
6811,宏碁資訊,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-25 00:00:00,2026-06-25,,2026-06-25,true,false,sha256:6ac4a345e59a72d0d26925ed79b59c4b87ec605202696b2f6505d13a53b41535
8227,巨有科技,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-25 00:00:00,2026-06-25,,2026-06-25,true,false,sha256:22a6082db8c16630b7b76848348e159ac1491fae2d3c061f9f5fdb5b033fd9df
5274,信驊,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-26 00:00:00,2026-06-26,,2026-06-26,true,false,sha256:51238485dafdd751b06743f47cd826734849cf0dd5d06f87552a367580f43063
3450,聯鈞,disposition,最近十個營業日已有六次,最近十個營業日已有六次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-06-29 00:00:00,,,2026-06-29,true,false,sha256:4c03c40edfb1288914764c8e187ec253a88d2f73442288c16c9779832eed11d7
3580,友威科,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-29 00:00:00,2026-06-29,,2026-06-29,true,false,sha256:f705a722b1c849a6069a933a185fa255a6e604a769296422b9fe7e76bf196553
2397,友通,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-06-30 00:00:00,2026-06-30,,2026-06-30,true,false,sha256:d7246c6472d0b7c36dc81263bae94794106dc4b90144b6f60d4d2a0b46825fcc
3264,欣銓,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-30 00:00:00,2026-06-30,,2026-06-30,true,false,sha256:a815f5ee6dce90bd7ca94b702ab0a2881cec3e32feea6706e1eb1c08f9366eff
8039,台虹,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-06-30 00:00:00,2026-06-30,,2026-06-30,true,false,sha256:b6c18931ff16b1cfa629734eb58bf0f1df55c41e8bf39ca7d73e140a96532051
8299,群聯,ex_dividend,,除息,TPEx ex-dividend preview,https://www.tpex.org.tw/openapi/v1/tpex_exright_prepost,2026-06-30 00:00:00,2026-06-30,,2026-06-30,true,false,sha256:206c30df8f9b59ee68feab610cd66f14e5c137a47d1c0a57dbf1bfd8e3fb299a
2303,聯電,disposition,最近十個營業日已有六次,最近十個營業日已有六次,TWSE disposition securities,https://openapi.twse.com.tw/v1/announcement/punish,2026-07-01 00:00:00,,,2026-07-01,true,false,sha256:239477290d7c2ac4cb4430681637ae50a76273d09cb3b7d593b37ff1902d0b23
2357,華碩,ex_dividend,,息,TWSE ex-dividend preview,https://openapi.twse.com.tw/v1/exchangeReport/TWT48U_ALL,2026-07-01 00:00:00,2026-07-01,,2026-07-01,true,false,sha256:46aa88ece508b469c4b2439632f8a67dd646fb89b1204f1a1406aeb3dd7cf443
